w_mom,w_lv,w_rsi,w_vol,tr_sharpe,tr_cumret,tr_annual,tr_mdd,te_sharpe,te_cumret,te_annual,te_mdd,te_winrate
0.0,0.2,0.7000000000000001,0.1,0.27060696,0.10347128,0.035666704,-0.3329376,1.1404893,0.45573783,0.2896614,-0.14498186,0.5510753
0.0,0.2,0.75,0.05,-0.2512804,-0.1756686,-0.066449225,-0.43735868,0.9308303,0.3336481,0.21536124,-0.16241315,0.5483871
0.0,0.2,0.8,0.0,0.09386828,-0.001680553,-0.00059854984,-0.3331622,0.5133017,0.15683293,0.10372472,-0.14437523,0.48924732
0.0,0.25,0.0,0.75,0.0333181,-0.037571788,-0.013538241,-0.3211308,1.4240106,0.7940272,0.4857602,-0.18755607,0.5080645
0.0,0.25,0.05,0.7000000000000001,-0.5618071,-0.30332804,-0.12071693,-0.43493447,1.3152016,0.63546014,0.39548075,-0.14604308,0.52150536
0.0,0.25,0.1,0.65,-0.109786026,-0.114275336,-0.042272627,-0.41503143,1.2595851,0.5734719,0.3594277,-0.13499929,0.52150536
0.0,0.25,0.15000000000000002,0.6000000000000001,0.01709032,-0.05193287,-0.018802881,-0.38486108,1.3593391,0.6362988,0.39596546,-0.14692451,0.53763443
0.0,0.25,0.2,0.55,0.0341062,-0.042715013,-0.015417814,-0.40510187,1.3824569,0.6310059,0.392905,-0.12779781,0.5403226
0.0,0.25,0.25,0.5,-0.3227336,-0.22621697,-0.08724135,-0.46277574,1.2410531,0.5539131,0.3479575,-0.15199675,0.5510753
0.0,0.25,0.30000000000000004,0.45,-0.2973495,-0.21134514,-0.081035435,-0.45549333,1.3710728,0.63241637,0.39372087,-0.13220802,0.54569894
0.0,0.25,0.35000000000000003,0.4,-0.018260652,-0.07037336,-0.02563876,-0.39453495,1.2494601,0.5443274,0.3423189,-0.13220315,0.52956986
0.0,0.25,0.4,0.35000000000000003,-0.029753955,-0.075745165,-0.027646482,-0.3577533,1.0622263,0.43029594,0.27434945,-0.124360316,0.5322581
0.0,0.25,0.45,0.30000000000000004,0.17930546,0.045404673,0.015930414,-0.3680954,1.2341543,0.52960753,0.33363843,-0.12961988,0.54569894
0.0,0.25,0.5,0.25,0.19350636,0.05419731,0.018963575,-0.32385865,1.4216199,0.65659845,0.40767372,-0.1326375,0.5430108
0.0,0.25,0.55,0.2,0.25178406,0.090996265,0.031484127,-0.32918972,1.2324048,0.55179965,0.3467152,-0.15285574,0.5483871
0.0,0.25,0.6000000000000001,0.15000000000000002,0.03368539,-0.038141727,-0.013746262,-0.3340005,1.0394351,0.4133849,0.26412296,-0.14998208,0.5430108
0.0,0.25,0.65,0.1,-0.14382438,-0.1256144,-0.0466547,-0.4013705,1.0143342,0.38564336,0.24726129,-0.14605139,0.54569894
0.0,0.25,0.7000000000000001,0.05,-0.27329683,-0.18108314,-0.06863642,-0.39606166,0.95575875,0.34923267,0.22496402,-0.15613784,0.5403226
0.0,0.25,0.75,0.0,0.067494154,-0.013161957,-0.0047047734,-0.30427447,0.3995986,0.106061935,0.070673466,-0.1583322,0.49462366
0.0,0.30000000000000004,0.0,0.7000000000000001,-0.15013428,-0.12510341,-0.046456516,-0.29847458,1.3314188,0.6793519,0.4207425,-0.1911039,0.49731183
0.0,0.30000000000000004,0.05,0.65,-0.23694368,-0.16589963,-0.062526345,-0.40268567,1.3396671,0.6321689,0.3935777,-0.14361344,0.52150536
0.0,0.30000000000000004,0.1,0.6000000000000001,-0.082542636,-0.09416461,-0.034588575,-0.37975132,0.9686972,0.38622236,0.24761438,-0.14199184,0.5080645
0.0,0.30000000000000004,0.15000000000000002,0.55,0.14981334,0.028866768,0.010180593,-0.35577586,1.4723467,0.6854793,0.42425203,-0.13390891,0.5322581
0.0,0.30000000000000004,0.2,0.5,-0.06357086,-0.091300786,-0.033503294,-0.3992355,1.4296254,0.65070975,0.4042821,-0.1366591,0.5645161
0.0,0.30000000000000004,0.25,0.45,-0.12823482,-0.12577969,-0.046718895,-0.4205642,1.114094,0.46569192,0.29562867,-0.13585992,0.5591398
0.0,0.30000000000000004,0.30000000000000004,0.4,-0.3341695,-0.22222412,-0.08556765,-0.43923315,1.2270397,0.5291487,0.33336735,-0.13521804,0.5510753
0.0,0.30000000000000004,0.35000000000000003,0.35000000000000003,-0.035001356,-0.07311624,-0.026663005,-0.35209116,1.0635449,0.4262185,0.2718873,-0.12728453,0.5403226
0.0,0.30000000000000004,0.4,0.30000000000000004,0.1098624,0.005133271,0.0018241405,-0.3640311,0.9390202,0.35914922,0.23105586,-0.13267894,0.5322581
0.0,0.30000000000000004,0.45,0.25,0.46459508,0.23437667,0.077827334,-0.28093347,1.0768276,0.44387114,0.2825303,-0.13677162,0.5241935
0.0,0.30000000000000004,0.5,0.2,0.060819563,-0.023802161,-0.008537769,-0.35831463,1.0050764,0.39517462,0.25306666,-0.1360832,0.53763443
0.0,0.30000000000000004,0.55,0.15000000000000002,-0.3585239,-0.21517944,-0.08262819,-0.4036103,0.9159292,0.33990788,0.21922266,-0.14975709,0.5403226
0.0,0.30000000000000004,0.6000000000000001,0.1,-0.559915,-0.29062718,-0.115044475,-0.44134834,0.93294287,0.33985317,0.21918893,-0.12710892,0.5322581
