Date,picks,daily_return,equity
2023-09-13,0,0.0,929869.7326182782
2023-09-14,0,0.0,929869.7326182782
2023-09-15,0,0.0,929869.7326182782
2023-09-18,0,0.0,929869.7326182782
2023-09-19,0,0.0,929869.7326182782
2023-09-20,0,0.0,929869.7326182782
2023-09-21,0,0.0,929869.7326182782
2023-09-22,0,0.0,929869.7326182782
2023-09-25,0,0.0,929869.7326182782
2023-09-26,0,0.0,929869.7326182782
2023-09-27,0,0.0,929869.7326182782
2023-10-04,0,0.0,929869.7326182782
2023-10-05,0,0.0,929869.7326182782
2023-10-06,0,0.0,929869.7326182782
2023-10-10,0,0.0,929869.7326182782
2023-10-11,0,0.0,929869.7326182782
2023-10-12,0,0.0,929869.7326182782
2023-10-13,0,0.0,929869.7326182782
2023-10-16,0,0.0,929869.7326182782
2023-10-17,0,0.0,929869.7326182782
2023-10-18,0,0.0,929869.7326182782
2023-10-19,0,0.0,929869.7326182782
2023-10-20,0,0.0,929869.7326182782
2023-10-23,0,0.0,929869.7326182782
2023-10-24,0,0.0,929869.7326182782
2023-10-25,0,0.0,929869.7326182782
2023-10-26,0,0.0,929869.7326182782
2023-10-27,0,0.0,929869.7326182782
2023-10-30,0,0.0,929869.7326182782
2023-10-31,0,0.0,929869.7326182782
2023-11-01,0,0.0,929869.7326182782
2023-11-02,0,0.0,929869.7326182782
2023-11-03,3,0.056024955044586995,981965.6425855394
2023-11-06,3,-0.02670494755560183,955742.3015988898
2023-11-07,3,0.09156253161836907,1043252.4863080508
2023-11-08,3,0.006629251633826358,1050168.4695574017
2023-11-09,3,-0.01808251411801928,1031178.7833803315
2023-11-10,3,-0.004270076726342653,1026775.5708567208
2023-11-13,3,-0.0017728327965947643,1024955.2694499637
2023-11-14,0,0.0,1024955.2694499637
2023-11-15,3,0.01752815782646199,1042920.8471779465
2023-11-16,3,-0.060295603985867384,980037.3047878997
2023-11-17,0,0.0,980037.3047878997
2023-11-20,0,0.0,980037.3047878997
2023-11-21,0,0.0,980037.3047878997
2023-11-22,0,0.0,980037.3047878997
2023-11-23,0,0.0,980037.3047878997
2023-11-24,0,0.0,980037.3047878997
2023-11-27,0,0.0,980037.3047878997
2023-11-28,0,0.0,980037.3047878997
2023-11-29,0,0.0,980037.3047878997
2023-11-30,0,0.0,980037.3047878997
2023-12-01,0,0.0,980037.3047878997
2023-12-04,0,0.0,980037.3047878997
2023-12-05,0,0.0,980037.3047878997
2023-12-06,0,0.0,980037.3047878997
2023-12-07,0,0.0,980037.3047878997
2023-12-08,0,0.0,980037.3047878997
2023-12-11,0,0.0,980037.3047878997
2023-12-12,0,0.0,980037.3047878997
2023-12-13,0,0.0,980037.3047878997
2023-12-14,0,0.0,980037.3047878997
2023-12-15,0,0.0,980037.3047878997
2023-12-18,0,0.0,980037.3047878997
2023-12-19,0,0.0,980037.3047878997
2023-12-20,0,0.0,980037.3047878997
2023-12-21,0,0.0,980037.3047878997
2023-12-22,0,0.0,980037.3047878997
2023-12-26,0,0.0,980037.3047878997
2023-12-27,0,0.0,980037.3047878997
2023-12-28,0,0.0,980037.3047878997
2024-01-02,0,0.0,980037.3047878997
2024-01-03,0,0.0,980037.3047878997
2024-01-04,0,0.0,980037.3047878997
2024-01-05,0,0.0,980037.3047878997
2024-01-08,0,0.0,980037.3047878997
2024-01-09,0,0.0,980037.3047878997
2024-01-10,0,0.0,980037.3047878997
2024-01-11,0,0.0,980037.3047878997
2024-01-12,0,0.0,980037.3047878997
2024-01-15,0,0.0,980037.3047878997
2024-01-16,0,0.0,980037.3047878997
2024-01-17,0,0.0,980037.3047878997
2024-01-18,0,0.0,980037.3047878997
2024-01-19,0,0.0,980037.3047878997
2024-01-22,0,0.0,980037.3047878997
2024-01-23,0,0.0,980037.3047878997
2024-01-24,0,0.0,980037.3047878997
2024-01-25,0,0.0,980037.3047878997
2024-01-26,0,0.0,980037.3047878997
2024-01-29,0,0.0,980037.3047878997
2024-01-30,0,0.0,980037.3047878997
2024-01-31,0,0.0,980037.3047878997
2024-02-01,0,0.0,980037.3047878997
2024-02-02,0,0.0,980037.3047878997
2024-02-05,0,0.0,980037.3047878997
2024-02-06,0,0.0,980037.3047878997
2024-02-07,0,0.0,980037.3047878997
2024-02-08,0,0.0,980037.3047878997
2024-02-13,0,0.0,980037.3047878997
2024-02-14,0,0.0,980037.3047878997
2024-02-15,0,0.0,980037.3047878997
2024-02-16,0,0.0,980037.3047878997
2024-02-19,0,0.0,980037.3047878997
2024-02-20,0,0.0,980037.3047878997
2024-02-21,0,0.0,980037.3047878997
2024-02-22,0,0.0,980037.3047878997
2024-02-23,0,0.0,980037.3047878997
2024-02-26,0,0.0,980037.3047878997
2024-02-27,0,0.0,980037.3047878997
2024-02-28,0,0.0,980037.3047878997
2024-02-29,0,0.0,980037.3047878997
2024-03-04,0,0.0,980037.3047878997
2024-03-05,0,0.0,980037.3047878997
2024-03-06,0,0.0,980037.3047878997
2024-03-07,0,0.0,980037.3047878997
2024-03-08,0,0.0,980037.3047878997
2024-03-11,0,0.0,980037.3047878997
2024-03-12,0,0.0,980037.3047878997
2024-03-13,0,0.0,980037.3047878997
2024-03-14,0,0.0,980037.3047878997
2024-03-15,0,0.0,980037.3047878997
2024-03-18,0,0.0,980037.3047878997
2024-03-19,0,0.0,980037.3047878997
2024-03-20,0,0.0,980037.3047878997
2024-03-21,0,0.0,980037.3047878997
2024-03-22,0,0.0,980037.3047878997
2024-03-25,0,0.0,980037.3047878997
2024-03-26,0,0.0,980037.3047878997
2024-03-27,0,0.0,980037.3047878997
2024-03-28,0,0.0,980037.3047878997
2024-03-29,0,0.0,980037.3047878997
2024-04-01,0,0.0,980037.3047878997
2024-04-02,0,0.0,980037.3047878997
2024-04-03,0,0.0,980037.3047878997
2024-04-04,0,0.0,980037.3047878997
2024-04-05,0,0.0,980037.3047878997
2024-04-08,0,0.0,980037.3047878997
2024-04-09,0,0.0,980037.3047878997
2024-04-11,0,0.0,980037.3047878997
2024-04-12,0,0.0,980037.3047878997
2024-04-15,0,0.0,980037.3047878997
2024-04-16,0,0.0,980037.3047878997
2024-04-17,0,0.0,980037.3047878997
2024-04-18,0,0.0,980037.3047878997
2024-04-19,0,0.0,980037.3047878997
2024-04-22,0,0.0,980037.3047878997
2024-04-23,0,0.0,980037.3047878997
2024-04-24,0,0.0,980037.3047878997
2024-04-25,0,0.0,980037.3047878997
2024-04-26,0,0.0,980037.3047878997
2024-04-29,0,0.0,980037.3047878997
2024-04-30,0,0.0,980037.3047878997
2024-05-02,0,0.0,980037.3047878997
2024-05-03,0,0.0,980037.3047878997
2024-05-07,0,0.0,980037.3047878997
2024-05-08,0,0.0,980037.3047878997
2024-05-09,0,0.0,980037.3047878997
2024-05-10,0,0.0,980037.3047878997
2024-05-13,0,0.0,980037.3047878997
2024-05-14,0,0.0,980037.3047878997
2024-05-16,0,0.0,980037.3047878997
2024-05-17,0,0.0,980037.3047878997
2024-05-20,0,0.0,980037.3047878997
2024-05-21,0,0.0,980037.3047878997
2024-05-22,0,0.0,980037.3047878997
2024-05-23,0,0.0,980037.3047878997
2024-05-24,0,0.0,980037.3047878997
2024-05-27,0,0.0,980037.3047878997
2024-05-28,0,0.0,980037.3047878997
2024-05-29,0,0.0,980037.3047878997
2024-05-30,0,0.0,980037.3047878997
2024-05-31,0,0.0,980037.3047878997
2024-06-03,0,0.0,980037.3047878997
2024-06-04,0,0.0,980037.3047878997
2024-06-05,0,0.0,980037.3047878997
2024-06-07,0,0.0,980037.3047878997
2024-06-10,0,0.0,980037.3047878997
2024-06-11,0,0.0,980037.3047878997
2024-06-12,0,0.0,980037.3047878997
2024-06-13,0,0.0,980037.3047878997
2024-06-14,0,0.0,980037.3047878997
2024-06-17,0,0.0,980037.3047878997
2024-06-18,0,0.0,980037.3047878997
2024-06-19,0,0.0,980037.3047878997
2024-06-20,0,0.0,980037.3047878997
2024-06-21,0,0.0,980037.3047878997
2024-06-24,0,0.0,980037.3047878997
2024-06-25,0,0.0,980037.3047878997
2024-06-26,0,0.0,980037.3047878997
2024-06-27,0,0.0,980037.3047878997
2024-06-28,0,0.0,980037.3047878997
2024-07-01,0,0.0,980037.3047878997
2024-07-02,0,0.0,980037.3047878997
2024-07-03,0,0.0,980037.3047878997
2024-07-04,0,0.0,980037.3047878997
2024-07-05,0,0.0,980037.3047878997
2024-07-08,0,0.0,980037.3047878997
2024-07-09,0,0.0,980037.3047878997
2024-07-10,0,0.0,980037.3047878997
2024-07-11,0,0.0,980037.3047878997
2024-07-12,0,0.0,980037.3047878997
2024-07-15,0,0.0,980037.3047878997
2024-07-16,0,0.0,980037.3047878997
2024-07-17,0,0.0,980037.3047878997
2024-07-18,0,0.0,980037.3047878997
2024-07-19,0,0.0,980037.3047878997
2024-07-22,0,0.0,980037.3047878997
2024-07-23,0,0.0,980037.3047878997
2024-07-24,0,0.0,980037.3047878997
2024-07-25,0,0.0,980037.3047878997
2024-07-26,0,0.0,980037.3047878997
2024-07-29,0,0.0,980037.3047878997
2024-07-30,0,0.0,980037.3047878997
2024-07-31,0,0.0,980037.3047878997
2024-08-01,0,0.0,980037.3047878997
2024-08-02,0,0.0,980037.3047878997
2024-08-05,0,0.0,980037.3047878997
2024-08-06,0,0.0,980037.3047878997
2024-08-07,0,0.0,980037.3047878997
2024-08-08,0,0.0,980037.3047878997
2024-08-09,0,0.0,980037.3047878997
2024-08-12,0,0.0,980037.3047878997
2024-08-13,0,0.0,980037.3047878997
2024-08-14,0,0.0,980037.3047878997
2024-08-16,0,0.0,980037.3047878997
2024-08-19,0,0.0,980037.3047878997
2024-08-20,0,0.0,980037.3047878997
2024-08-21,0,0.0,980037.3047878997
2024-08-22,0,0.0,980037.3047878997
2024-08-23,0,0.0,980037.3047878997
2024-08-26,0,0.0,980037.3047878997
