w_mom,w_lv,w_rsi,w_vol,tr_sharpe,tr_cumret,tr_mdd,te_sharpe,te_cumret,te_mdd
0.0,0.6000000000000001,0.15000000000000002,0.25,-0.0949383,-0.07435542,-0.27529076,1.6990476,0.7028191,-0.13103491
0.0,0.6000000000000001,0.2,0.2,-0.28671443,-0.1519363,-0.30713126,1.4280691,0.557191,-0.12413328
0.0,0.6000000000000001,0.25,0.15000000000000002,-0.18536228,-0.11525792,-0.32360968,1.0483202,0.3630513,-0.13234992
0.0,0.6000000000000001,0.30000000000000004,0.1,-0.10959551,-0.0812518,-0.33547732,1.2352709,0.4430232,-0.13373563
0.0,0.6000000000000001,0.35000000000000003,0.05,-0.4182929,-0.19670624,-0.40930927,0.9511869,0.32206368,-0.16218872
0.0,0.6000000000000001,0.4,0.0,-0.1766723,-0.10239631,-0.39090276,0.8550348,0.28590095,-0.15287359
0.0,0.65,0.0,0.35000000000000003,-0.8106883,-0.3066777,-0.38087213,1.4802339,0.58926344,-0.15612182
0.0,0.65,0.05,0.30000000000000004,-0.6988731,-0.27062798,-0.38167462,1.1419957,0.39993048,-0.13042957
0.0,0.65,0.1,0.25,-0.3128189,-0.14981467,-0.340984,1.5957004,0.6447277,-0.1382306
0.0,0.65,0.15000000000000002,0.2,-0.19817846,-0.10799253,-0.30137902,1.6859616,0.68338406,-0.11942004
0.0,0.65,0.2,0.15000000000000002,-0.38196057,-0.18305093,-0.35565105,1.3142637,0.50169873,-0.13341443
0.0,0.65,0.25,0.1,-0.39215744,-0.18375742,-0.36671776,1.0645063,0.36362147,-0.1369598
0.0,0.65,0.30000000000000004,0.05,-0.48139837,-0.21225804,-0.4253166,0.9415837,0.3079281,-0.14397295
0.0,0.65,0.35000000000000003,0.0,-0.05473009,-0.05481857,-0.385942,0.62175316,0.18128037,-0.16839541
0.0,0.7000000000000001,0.0,0.30000000000000004,-1.0550245,-0.36461562,-0.38871944,1.7182854,0.72928905,-0.15110026
0.0,0.7000000000000001,0.05,0.25,-0.523246,-0.216627,-0.35399836,1.3594743,0.50784206,-0.123893924
