status,rows,first_date,last_date,final_value_krw,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,trades,profit_factor,buyhold_return_pct,invested_days_pct,outperformed_buyhold,code,name,market,yfinance_symbol,violations
PASS,974.0,2022-01-04,2025-12-30,591183.97,-40.88,-12.35,-48.49,-0.257,14.0,0.891,-67.85,25.56,True,119650,KC코트렐,KOSPI,119650.KS,
PASS,974.0,2022-01-04,2025-12-30,2937199.98,193.72,31.03,-62.17,0.898,12.0,1.247,195.76,49.9,False,336570,원텍,KOSDAQ,336570.KQ,
PASS,974.0,2022-01-04,2025-12-30,680051.82,-31.99,-9.22,-43.99,-0.355,20.0,0.898,-31.0,43.02,False,088910,동우팜투테이블,KOSDAQ,088910.KQ,
PASS,974.0,2022-01-04,2025-12-30,466516.51,-53.35,-17.41,-55.1,-0.908,6.0,0.506,-85.47,6.78,True,121800,비덴트,KOSDAQ,121800.KQ,
PASS,974.0,2022-01-04,2025-12-30,504324.42,-49.57,-15.78,-62.77,-0.272,22.0,0.918,-73.62,36.96,True,088390,이녹스,KOSDAQ,088390.KQ,
PASS,974.0,2022-01-04,2025-12-30,506375.67,-49.36,-15.69,-50.76,-0.592,16.0,0.805,-66.85,30.18,True,130500,GH신소재,KOSDAQ,130500.KQ,
PASS,974.0,2022-01-04,2025-12-30,290384.29,-70.96,-26.67,-71.07,-1.023,20.0,0.722,-49.73,33.06,False,060590,씨티씨바이오,KOSDAQ,060590.KQ,
PASS,974.0,2022-01-04,2025-12-30,581748.2,-41.83,-12.71,-63.32,-0.421,25.0,0.893,12.22,43.53,False,034730,SK,KOSPI,034730.KS,
PASS,974.0,2022-01-04,2025-12-30,932469.31,-6.75,-1.74,-33.22,-0.045,15.0,0.988,-8.44,39.43,True,035250,강원랜드,KOSPI,035250.KS,
PASS,974.0,2022-01-04,2025-12-30,645250.68,-35.47,-10.41,-55.01,-0.382,14.0,0.832,-73.59,17.45,True,122350,삼기,KOSDAQ,122350.KQ,
PASS,974.0,2022-01-04,2025-12-30,590019.02,-41.0,-12.4,-51.67,-0.261,21.0,0.893,-51.19,28.23,True,014190,원익큐브,KOSDAQ,014190.KQ,
PASS,974.0,2022-01-04,2025-12-30,845689.03,-15.43,-4.12,-36.18,-0.149,21.0,0.968,17.81,55.03,False,012750,에스원,KOSPI,012750.KS,
PASS,974.0,2022-01-04,2025-12-30,697627.83,-30.24,-8.64,-34.38,-0.385,14.0,0.901,-48.89,40.04,True,019680,대교,KOSPI,019680.KS,
PASS,717.0,2023-01-19,2025-12-30,708568.42,-29.14,-11.04,-53.29,-0.177,10.0,0.955,-42.8,38.63,True,425040,티이엠씨,KOSDAQ,425040.KQ,
PASS,974.0,2022-01-04,2025-12-30,769243.39,-23.08,-6.37,-50.06,-0.074,15.0,0.977,-34.31,43.43,True,024120,KB오토시스,KOSDAQ,024120.KQ,
PASS,974.0,2022-01-04,2025-12-30,540540.95,-45.95,-14.3,-55.59,-0.343,22.0,0.897,-69.28,31.31,True,321550,티움바이오,KOSDAQ,321550.KQ,
PASS,974.0,2022-01-04,2025-12-30,784055.23,-21.59,-5.92,-45.71,-0.072,22.0,0.98,-21.94,45.48,True,017810,풀무원,KOSPI,017810.KS,
PASS,974.0,2022-01-04,2025-12-30,234103.35,-76.59,-30.53,-84.99,-0.276,24.0,0.92,15.96,49.18,False,007390,네이처셀,KOSDAQ,007390.KQ,
PASS,974.0,2022-01-04,2025-12-30,1147447.11,14.74,3.51,-51.06,0.276,23.0,1.064,254.32,60.57,False,047810,한국항공우주,KOSPI,047810.KS,
PASS,974.0,2022-01-04,2025-12-30,712872.83,-28.71,-8.14,-35.49,-0.633,16.0,0.796,-50.98,25.36,True,169330,엠브레인,KOSDAQ,169330.KQ,
PASS,974.0,2022-01-04,2025-12-30,644768.79,-35.52,-10.42,-46.17,-0.319,19.0,0.906,-43.17,39.94,True,053980,오상자이엘,KOSDAQ,053980.KQ,
PASS,974.0,2022-01-04,2025-12-30,586119.55,-41.39,-12.54,-52.53,-0.223,24.0,0.944,74.81,52.77,False,059210,메타바이오메드,KOSDAQ,059210.KQ,
PASS,974.0,2022-01-04,2025-12-30,603899.93,-39.61,-11.88,-47.51,-0.187,19.0,0.948,-44.38,40.25,True,219420,링크제니시스,KOSDAQ,219420.KQ,
PASS,974.0,2022-01-04,2025-12-30,974644.99,-2.54,-0.64,-46.06,0.136,22.0,1.042,5.59,38.71,False,082640,동양생명,KOSPI,082640.KS,
PASS,974.0,2022-01-04,2025-12-30,290390.6,-70.96,-26.67,-74.08,-0.485,22.0,0.829,-4.12,33.06,False,117580,대성에너지,KOSPI,117580.KS,
PASS,974.0,2022-01-04,2025-12-30,1255506.98,25.55,5.87,-31.41,0.339,21.0,1.092,70.46,52.98,False,128940,한미약품,KOSPI,128940.KS,
PASS,974.0,2022-01-04,2025-12-30,930020.42,-7.0,-1.8,-68.75,0.115,17.0,1.035,100.0,37.99,False,187790,나노,KOSDAQ,187790.KQ,
PASS,974.0,2022-01-04,2025-12-30,413989.08,-58.6,-19.85,-59.0,-0.654,22.0,0.802,-57.15,35.11,False,279600,미디어젠,KOSDAQ,279600.KQ,
PASS,974.0,2022-01-04,2025-12-30,740523.62,-25.95,-7.26,-43.83,-0.452,19.0,0.861,-43.5,34.5,True,131180,딜리,KOSDAQ,131180.KQ,
PASS,974.0,2022-01-04,2025-12-30,485761.57,-51.42,-16.57,-67.26,-0.278,22.0,0.925,2.25,46.92,False,099190,아이센스,KOSDAQ,099190.KQ,
PASS,974.0,2022-01-04,2025-12-30,1756492.07,75.65,15.18,-14.55,0.808,15.0,1.216,116.75,64.07,False,033780,KT&G,KOSPI,033780.KS,
PASS,974.0,2022-01-04,2025-12-30,538300.89,-46.17,-14.39,-49.96,-0.796,17.0,0.761,-72.36,28.13,True,104480,티케이케미칼,KOSDAQ,104480.KQ,
PASS,974.0,2022-01-04,2025-12-30,1591040.72,59.1,12.36,-48.25,0.497,20.0,1.123,227.6,53.7,False,014620,성광벤드,KOSDAQ,014620.KQ,
PASS,553.0,2023-09-18,2025-12-30,422866.86,-57.71,-31.4,-64.51,-0.905,6.0,0.66,-88.34,15.55,True,384470,코어라인소프트,KOSDAQ,384470.KQ,
PASS,974.0,2022-01-04,2025-12-30,995022.36,-0.5,-0.13,-50.76,0.2,18.0,1.059,-69.13,41.89,True,067630,HLB생명과학,KOSDAQ,067630.KQ,
PASS,974.0,2022-01-04,2025-12-30,1844565.07,84.46,16.6,-25.94,0.675,14.0,1.179,-5.03,48.46,True,104830,원익머트리얼즈,KOSDAQ,104830.KQ,
PASS,735.0,2022-12-23,2025-12-30,464245.39,-53.58,-22.44,-53.58,-0.728,12.0,0.72,-61.19,21.09,True,162300,신스틸,KOSDAQ,162300.KQ,
PASS,974.0,2022-01-04,2025-12-30,1333468.58,33.35,7.49,-47.99,0.407,18.0,1.129,-11.93,38.6,True,136490,선진,KOSPI,136490.KS,
PASS,974.0,2022-01-04,2025-12-30,417748.23,-58.23,-19.67,-69.17,-0.73,20.0,0.791,-52.07,34.6,False,222980,한국맥널티,KOSDAQ,222980.KQ,
PASS,794.0,2022-09-29,2025-12-30,1173658.15,17.37,5.05,-27.61,0.319,10.0,1.096,-59.04,43.45,True,314140,알피바이오,KOSDAQ,314140.KQ,
PASS,974.0,2022-01-04,2025-12-30,934745.95,-6.53,-1.68,-39.72,0.158,22.0,1.057,-1.93,39.01,False,130660,한전산업,KOSPI,130660.KS,
PASS,974.0,2022-01-04,2025-12-30,243744.98,-75.63,-29.82,-77.57,-0.638,20.0,0.791,-90.24,27.82,True,229000,젠큐릭스,KOSDAQ,229000.KQ,
PASS,974.0,2022-01-04,2025-12-30,767055.0,-23.29,-6.44,-41.36,-0.16,16.0,0.93,-84.64,21.77,True,018700,졸스,KOSDAQ,018700.KQ,
PASS,974.0,2022-01-04,2025-12-30,394888.32,-60.51,-20.79,-60.51,-0.714,18.0,0.765,-67.73,31.42,True,131100,티엔엔터테인먼트,KOSDAQ,131100.KQ,
PASS,633.0,2023-05-24,2025-12-30,364934.21,-63.51,-32.1,-69.32,-0.761,14.0,0.786,-73.7,34.28,True,434480,모니터랩,KOSDAQ,434480.KQ,
