total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,strategy,overlay_mode,alpha,max_notional,max_positions,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,daily_avg_pct_252,target_05pct_day
-2.83,-19.95,77,30,38.96,-0.2468,971719.64,1000000,30.0,46152.53,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.1,0.15,0.06,10,-0.01123015873015873,False
-2.83,-19.95,77,30,38.96,-0.2468,971719.64,1000000,30.0,46152.53,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.1,0.15,0.06,20,-0.01123015873015873,False
-6.58,-15.21,61,21,34.43,-0.9845,934195.23,1000000,30.0,36475.58,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.1,0.25,0.0,10,-0.026111111111111113,False
1.62,-7.62,55,19,34.55,0.4363,1016216.93,1000000,30.0,33140.55,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.1,0.25,0.0,20,0.006428571428571429,False
-11.63,-22.7,70,24,34.29,-1.711,883693.35,1000000,30.0,41186.58,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.1,0.25,0.06,10,-0.04615079365079365,False
-11.63,-22.7,70,24,34.29,-1.711,883693.35,1000000,30.0,41186.58,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.1,0.25,0.06,20,-0.04615079365079365,False
10.18,-8.12,57,25,43.86,1.8251,1101826.82,1000000,30.0,34579.08,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.14,0.15,0.0,10,0.040396825396825396,False
2.14,-11.15,43,15,34.88,0.5421,1021441.7,1000000,30.0,25911.92,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.14,0.15,0.0,20,0.008492063492063492,False
3.35,-16.82,69,29,42.03,0.6843,1033513.08,1000000,30.0,41595.18,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.14,0.15,0.06,10,0.013293650793650793,False
-5.02,-20.7,67,26,38.81,-0.6047,949791.7,1000000,30.0,39852.02,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.14,0.15,0.06,20,-0.01992063492063492,False
3.45,-10.07,50,19,38.0,0.7149,1034549.15,1000000,30.0,30164.0,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.14,0.25,0.0,10,0.01369047619047619,False
-6.8,-17.59,44,13,29.55,-1.1121,931968.82,1000000,30.0,26126.03,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.14,0.25,0.0,20,-0.026984126984126982,False
-2.92,-17.36,63,26,41.27,-0.3097,970764.99,1000000,30.0,37770.69,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.14,0.25,0.06,10,-0.011587301587301587,False
-12.82,-22.59,61,22,36.07,-1.8983,871834.26,1000000,30.0,35859.59,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,6,0.14,0.25,0.06,20,-0.050873015873015875,False
18.21,-8.64,116,48,41.38,2.7756,1182144.43,1000000,30.0,69610.15,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.06,0.15,0.0,10,0.07226190476190476,False
17.4,-10.42,114,47,41.23,2.6485,1173959.26,1000000,30.0,68359.1,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.06,0.15,0.0,20,0.06904761904761904,False
19.11,-10.72,128,53,41.41,2.6819,1191120.63,1000000,30.0,76969.2,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.06,0.15,0.06,10,0.07583333333333334,False
19.11,-10.72,128,53,41.41,2.6819,1191120.63,1000000,30.0,76969.2,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.06,0.15,0.06,20,0.07583333333333334,False
12.49,-13.77,102,38,37.25,1.8818,1124878.28,1000000,30.0,59797.48,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.06,0.25,0.0,10,0.049563492063492066,False
14.35,-10.73,98,38,38.78,2.0822,1143514.53,1000000,30.0,57409.14,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.06,0.25,0.0,20,0.05694444444444444,False
