total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,max_notional,cash_fraction_per_entry,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,max_positions,daily_avg_pct_252,target_05pct_day
35.6,-14.8,57,25,43.86,3.9085,1356020.35,1000000,30.0,55200.37,2025,2026,300000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.14126984126984127,False
13.87,-20.98,25,8,32.0,1.881,1138684.13,1000000,30.0,45202.79,2025,2026,300000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.055039682539682534,False
41.44,-8.88,63,27,42.86,5.6077,1414409.01,1000000,30.0,51330.69,2025,2026,500000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.16444444444444445,False
46.09,-10.54,64,29,45.31,4.8836,1460932.06,1000000,30.0,59275.58,2025,2026,500000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.18289682539682542,False
28.26,-20.36,59,27,45.76,3.0475,1282613.09,1000000,30.0,56409.08,2025,2026,500000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.11214285714285716,False
38.66,-14.69,55,24,43.64,3.39,1386558.96,1000000,30.0,67212.84,2025,2026,500000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.1534126984126984,False
-2.37,-35.65,15,4,26.67,0.3914,976339.43,1000000,30.0,45044.3,2025,2026,500000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,-0.009404761904761905,False
61.01,-7.18,64,28,43.75,7.6704,1610078.11,1000000,30.0,53426.21,2025,2026,150000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.2421031746031746,False
62.58,-7.1,64,28,43.75,7.503,1625806.52,1000000,30.0,56001.1,2025,2026,150000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.24833333333333332,False
64.91,-7.01,64,28,43.75,7.6972,1649129.17,1000000,30.0,57373.88,2025,2026,150000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.2575793650793651,False
66.52,-6.95,65,29,44.62,8.014,1665194.54,1000000,30.0,58377.22,2025,2026,150000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.26396825396825396,False
66.52,-6.95,62,27,43.55,7.8414,1665195.44,1000000,30.0,57666.43,2025,2026,150000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.26396825396825396,False
61.09,-9.09,64,28,43.75,6.8375,1610922.81,1000000,30.0,58138.66,2025,2026,200000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.24242063492063493,False
88.41,-8.13,63,31,49.21,8.584,1884081.65,1000000,30.0,66513.84,2025,2026,200000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.35083333333333333,False
93.57,-7.89,63,31,49.21,8.4805,1935725.28,1000000,30.0,69762.21,2025,2026,200000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.37130952380952376,False
84.93,-8.23,63,29,46.03,7.9557,1849253.63,1000000,30.0,71417.89,2025,2026,200000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.33702380952380956,False
65.37,-9.11,56,22,39.29,6.4645,1653699.38,1000000,30.0,68965.12,2025,2026,200000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.2594047619047619,False
60.96,-10.95,65,30,46.15,6.2956,1609648.64,1000000,30.0,59937.83,2025,2026,300000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.2419047619047619,False
74.22,-12.21,64,32,50.0,6.5504,1742181.67,1000000,30.0,68837.03,2025,2026,300000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.2945238095238095,False
88.68,-12.79,63,33,52.38,7.0582,1886785.05,1000000,30.0,78421.56,2025,2026,300000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.35190476190476194,False
94.71,-14.44,65,30,46.15,7.0317,1947147.6,1000000,30.0,84662.71,2025,2026,300000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.3758333333333333,False
89.4,-11.53,41,17,41.46,7.2958,1893956.05,1000000,30.0,76252.54,2025,2026,300000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.3547619047619048,False
56.4,-10.98,65,29,44.62,5.9229,1563992.28,1000000,30.0,59320.9,2025,2026,500000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.2238095238095238,False
70.05,-12.26,64,31,48.44,5.9719,1700475.63,1000000,30.0,69135.43,2025,2026,500000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.2779761904761905,False
67.99,-13.12,63,31,49.21,5.1922,1679868.62,1000000,30.0,72886.57,2025,2026,500000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.26980158730158726,False
58.23,-17.46,55,29,52.73,4.449,1582326.58,1000000,30.0,71726.51,2025,2026,500000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.23107142857142857,False
26.17,-19.03,14,5,35.71,2.8876,1261689.09,1000000,30.0,42685.02,2025,2026,500000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.10384920634920636,False
