config,symbol,side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_krw,pnl_pct,holding_steps,exit_reason,entry_year,entry_ret5,entry_ret20,entry_ret60,entry_vol20,entry_volume_surge
base_t55_sl12_mp4,314140,BUY,2025-11-12,7806.4580078125,2025-11-26,6992.04345703125,12.809907,-10701.28,-10.7,2,regime_risk_off,2025,0.06648574852734401,0.04105965525975974,0.31879202160005526,0.024301738665984667,5.671048537605554
base_t55_sl12_mp4,006730,BUY,2025-11-19,11131.3046875,2025-11-26,11240.4345703125,8.983673,677.45,0.68,1,regime_risk_off,2025,0.23704518865323965,0.2550335866055242,0.18105264488531314,0.047369290630829085,3.308245402132986
base_t55_sl12_mp4,319400,BUY,2025-12-03,10402.9228515625,2025-12-24,18531.765625,9.612683,77605.57,77.61,3,take_profit,2025,0.23871739187059626,0.08419961678547216,0.7239668709946745,0.03480675704033516,4.541071510689897
base_t55_sl12_mp4,011320,BUY,2025-12-24,4898.765625,2026-01-05,4240.0,20.413306,-13707.24,-13.71,1,stop_loss,2025,0.032258064516129004,0.10837997121851983,0.2685422098366128,0.014635822630535427,4.602878410669717
base_t55_sl12_mp4,016250,BUY,2025-12-03,15000.0,2026-02-19,18380.0,6.666667,22165.73,22.17,10,take_profit,2025,0.10294117647058831,0.21457489878542502,-0.011857707509881465,0.023116614320721603,5.186018252798676
base_t55_sl12_mp4,054800,BUY,2025-12-03,12173.8681640625,2026-02-19,14610.0,8.214316,19651.12,19.65,10,take_profit,2025,0.08333331160764446,0.15341956410025337,0.06303243116576396,0.015819296464383573,3.465013497287769
base_t55_sl12_mp4,002290,BUY,2025-12-03,3742.802001953125,2026-02-19,3775.0,26.717951,557.68,0.56,10,time_exit,2025,0.06729481078991006,0.09681886751010849,0.16275662170598482,0.010653503355928889,67.89768420853922
base_t55_sl12_mp4,179290,BUY,2026-01-05,7550.0,2026-03-20,6700.0,13.245033,-11524.5,-11.52,10,time_exit,2026,0.14400143177745428,0.15953088432827545,0.12229049921691382,0.023951074910015274,10.486779991109042
base_t55_sl12_mp4,290520,BUY,2026-03-20,1949.0,2026-03-27,2435.0,51.308363,24561.06,24.56,1,take_profit,2026,0.12269585253456228,0.1608100059559261,0.17409638554216866,0.036528977693859856,3.6621426992920663
base_t55_sl12_mp4,016250,BUY,2026-02-19,18380.0,2026-04-03,15170.0,5.440696,-17712.24,-17.71,6,stop_loss,2026,0.13247073321010472,0.23025435073627842,0.38195488721804516,0.023953348446968004,3.5096042044556066
base_t55_sl12_mp4,424760,BUY,2026-03-27,2550.0,2026-04-24,3774.0,39.215686,47556.0,47.56,4,take_profit,2026,0.19606003752345225,0.2737262737262738,0.2295081967213115,0.04636669013987144,5.41220085738657
base_t55_sl12_mp4,003690,BUY,2026-02-19,13161.5986328125,2026-05-04,12170.0,7.597861,-7811.43,-7.81,10,time_exit,2026,0.08954036233513785,0.25113737423622706,0.21145370647938955,0.017301966366982745,3.1336288749657455
base_t55_sl12_mp4,027740,BUY,2026-02-19,1756.0,2026-05-04,1642.0,56.947608,-6772.55,-6.77,10,time_exit,2026,0.11139240506329107,0.15374507227332468,0.13144329896907214,0.028459087331258827,29.43641887335614
base_t55_sl12_mp4,047080,BUY,2026-04-03,1321.0,2026-05-19,1450.0,75.700227,9436.03,9.44,6,regime_risk_off,2026,0.006092916984006047,0.12425531914893617,0.12617220801364026,0.01680567589941183,1.4642789394231643
base_t55_sl12_mp4,012610,BUY,2026-04-24,4845.0,2026-05-19,5380.0,20.639835,10709.18,10.71,3,regime_risk_off,2026,0.1254355400696865,0.22658227848101276,0.07547169811320753,0.028340132883539766,4.982013257974544
base_t55_sl12_mp4,088910,BUY,2026-05-04,2625.0,2026-05-19,2355.0,38.095238,-10554.86,-10.55,2,regime_risk_off,2026,0.050000000000000044,0.10993657505285404,0.27118644067796605,0.011695304376327792,3.300314481727885
base_t55_sl12_mp4,067900,BUY,2026-05-04,7700.0,2026-05-19,6900.0,12.987013,-10658.44,-10.66,2,regime_risk_off,2026,0.056241426611796985,0.12408759124087587,0.18461538461538463,0.014568421401485811,3.8141803912078607
def_t65_sl8_mp3,019170,BUY,2022-02-25,29050.0,2022-03-07,40300.0,3.442341,38310.15,38.31,1,take_profit,2022,,,,,
def_t65_sl8_mp3,002450,BUY,2022-02-25,1606.3922119140625,2022-03-15,1454.20751953125,62.251298,-9745.27,-9.75,2,stop_loss,2022,,,,,
