total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,max_positions,max_notional,cash_fraction_per_entry,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,daily_avg_pct_252,target_05pct_day
97.97,-12.91,35,14,40.0,3.9306,1979706.17,1000000,30.0,108226.5,2023,2024,3,500000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.38876984126984127,False
77.18,-19.97,40,15,37.5,3.5261,1771803.45,1000000,30.0,104443.42,2023,2024,3,1000000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.3062698412698413,False
149.47,-19.88,41,16,39.02,4.2428,2494682.32,1000000,30.0,159738.54,2023,2024,3,1000000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.5931349206349207,True
0.0,0.0,0,0,0.0,0.0,1000000.0,1000000,30.0,0.0,2023,2024,3,1000000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.0,False
36.19,-13.69,60,24,40.0,2.7215,1361889.71,1000000,30.0,73066.42,2023,2024,4,200000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.1436111111111111,False
37.22,-13.61,60,24,40.0,2.7485,1372153.74,1000000,30.0,73301.92,2023,2024,4,200000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.1476984126984127,False
37.22,-13.61,60,24,40.0,2.7485,1372153.74,1000000,30.0,73301.92,2023,2024,4,200000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.1476984126984127,False
43.0,-18.33,59,23,38.98,2.5959,1430001.87,1000000,30.0,94434.45,2023,2024,4,300000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.17063492063492064,False
45.79,-18.19,58,23,39.66,2.6647,1457858.29,1000000,30.0,97313.96,2023,2024,4,300000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.1817063492063492,False
45.43,-18.23,52,20,38.46,2.6418,1454266.28,1000000,30.0,95196.72,2023,2024,4,300000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.1802777777777778,False
68.03,-21.83,59,23,38.98,3.1154,1680298.1,1000000,30.0,117159.75,2023,2024,4,500000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.26996031746031746,False
73.58,-22.91,58,24,41.38,3.0691,1735840.69,1000000,30.0,132422.75,2023,2024,4,500000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.29198412698412696,False
87.65,-16.6,40,16,40.0,3.6255,1876486.8,1000000,30.0,122961.05,2023,2024,4,500000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.34781746031746036,False
70.93,-24.18,59,23,38.98,3.1513,1709285.42,1000000,30.0,120013.37,2023,2024,4,1000000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.281468253968254,False
141.41,-23.01,58,23,39.66,3.998,2414072.59,1000000,30.0,172767.89,2023,2024,4,1000000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.5611507936507937,True
0.0,0.0,0,0,0.0,0.0,1000000.0,1000000,30.0,0.0,2023,2024,4,1000000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.0,False
63.86,-9.08,73,31,42.47,4.2473,1638570.79,1000000,30.0,86620.2,2023,2024,5,200000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2534126984126984,False
71.38,-9.51,73,31,42.47,4.4319,1713807.15,1000000,30.0,89048.4,2023,2024,5,200000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.28325396825396826,False
71.62,-8.42,73,31,42.47,4.4051,1716211.1,1000000,30.0,89910.12,2023,2024,5,200000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.28420634920634924,False
69.47,-12.39,70,30,42.86,3.7649,1694685.33,1000000,30.0,104981.02,2023,2024,5,300000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2756746031746032,False
65.17,-14.82,72,30,41.67,3.39,1651726.44,1000000,30.0,108338.15,2023,2024,5,300000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2586111111111111,False
42.83,-19.06,57,21,36.84,2.5005,1428282.05,1000000,30.0,104145.61,2023,2024,5,300000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.16996031746031745,False
80.8,-17.91,70,29,41.43,3.577,1807985.41,1000000,30.0,119659.02,2023,2024,5,500000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.3206349206349206,False
92.89,-17.91,72,30,41.67,3.667,1928942.62,1000000,30.0,135693.29,2023,2024,5,500000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.3686111111111111,False
87.65,-16.6,40,16,40.0,3.6255,1876486.8,1000000,30.0,122961.05,2023,2024,5,500000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.34781746031746036,False
76.82,-22.14,70,29,41.43,3.4296,1768153.57,1000000,30.0,119655.91,2023,2024,5,1000000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.3048412698412698,False
