total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,strategy,train_end,trade_year,max_notional,max_positions,daily_avg_pct_252,target_05pct_day
56.03,-19.59,52,26,50.0,3.8953,1560336.97,1000000,30.0,54131.78,ml_rerank,2024,2025,500000,4,0.22234126984126984,False
58.21,-19.67,72,36,50.0,4.1422,1582142.17,1000000,30.0,58762.56,ml_rerank,2024,2025,500000,6,0.2309920634920635,False
77.53,-19.16,95,51,53.68,4.8346,1775308.82,1000000,30.0,66671.81,ml_rerank,2024,2025,500000,8,0.3076587301587302,False
9.81,-7.34,20,8,40.0,3.1348,1098051.32,1000000,30.0,12282.01,base,2025,2026,100000,4,0.03892857142857143,False
16.42,-10.8,33,14,42.42,3.4423,1164167.36,1000000,30.0,20290.87,base,2025,2026,100000,6,0.06515873015873017,False
34.01,-9.12,46,24,52.17,5.5046,1340071.41,1000000,30.0,28359.41,base,2025,2026,100000,8,0.13496031746031745,False
3.33,-7.99,16,4,25.0,1.1284,1033273.29,1000000,30.0,14331.82,base,2025,2026,150000,4,0.013214285714285715,False
6.02,-12.7,30,10,33.33,1.3962,1060199.87,1000000,30.0,23392.11,base,2025,2026,150000,6,0.023888888888888887,False
20.84,-11.88,44,21,47.73,3.5571,1208412.11,1000000,30.0,30333.78,base,2025,2026,150000,8,0.0826984126984127,False
-0.7,-11.05,16,4,25.0,0.0276,992963.28,1000000,30.0,15166.71,base,2025,2026,200000,4,-0.0027777777777777775,False
6.72,-12.39,29,11,37.93,1.5469,1067206.2,1000000,30.0,22864.1,base,2025,2026,200000,6,0.026666666666666665,False
10.69,-14.36,41,17,41.46,2.0699,1106852.22,1000000,30.0,26583.34,base,2025,2026,200000,8,0.04242063492063492,False
-2.54,-12.23,16,4,25.0,-0.4283,974595.03,1000000,30.0,15200.04,base,2025,2026,300000,4,-0.01007936507936508,False
0.88,-14.27,28,10,35.71,0.4734,1008821.65,1000000,30.0,21479.75,base,2025,2026,300000,6,0.003492063492063492,False
5.97,-13.95,40,16,40.0,1.3363,1059673.37,1000000,30.0,24945.84,base,2025,2026,300000,8,0.02369047619047619,False
-2.54,-12.23,16,4,25.0,-0.4283,974595.03,1000000,30.0,15200.04,base,2025,2026,500000,4,-0.01007936507936508,False
0.88,-14.27,28,10,35.71,0.4734,1008821.65,1000000,30.0,21479.75,base,2025,2026,500000,6,0.003492063492063492,False
5.97,-13.95,40,16,40.0,1.3363,1059673.37,1000000,30.0,24945.84,base,2025,2026,500000,8,0.02369047619047619,False
12.43,-4.32,20,8,40.0,3.9396,1124278.12,1000000,30.0,12363.44,fusion_hybrid_a0p5,2025,2026,100000,4,0.04932539682539682,False
26.5,-6.41,34,15,44.12,5.3624,1264965.05,1000000,30.0,21188.16,fusion_hybrid_a0p5,2025,2026,100000,6,0.10515873015873016,False
23.99,-8.96,46,20,43.48,4.091,1239874.46,1000000,30.0,28123.84,fusion_hybrid_a0p5,2025,2026,100000,8,0.0951984126984127,False
18.16,-6.09,20,8,40.0,4.0024,1181648.44,1000000,30.0,18449.79,fusion_hybrid_a0p5,2025,2026,150000,4,0.07206349206349207,False
24.09,-9.36,32,14,43.75,4.2472,1240930.52,1000000,30.0,27054.44,fusion_hybrid_a0p5,2025,2026,150000,6,0.0955952380952381,False
32.03,-11.33,44,21,47.73,4.7739,1320274.08,1000000,30.0,32743.62,fusion_hybrid_a0p5,2025,2026,150000,8,0.1271031746031746,False
18.4,-7.36,21,8,38.1,3.5831,1184043.14,1000000,30.0,22727.19,fusion_hybrid_a0p5,2025,2026,200000,4,0.073015873015873,False
33.96,-9.19,33,14,42.42,5.2428,1339649.73,1000000,30.0,29852.02,fusion_hybrid_a0p5,2025,2026,200000,6,0.13476190476190478,False
32.64,-11.38,44,21,47.73,4.6876,1326420.67,1000000,30.0,33327.35,fusion_hybrid_a0p5,2025,2026,200000,8,0.1295238095238095,False
17.75,-7.28,21,8,38.1,3.3809,1177470.53,1000000,30.0,23630.37,fusion_hybrid_a0p5,2025,2026,300000,4,0.07043650793650794,False
30.46,-9.13,33,14,42.42,4.8907,1304588.23,1000000,30.0,29706.44,fusion_hybrid_a0p5,2025,2026,300000,6,0.12087301587301588,False
29.27,-11.36,44,21,47.73,4.3737,1292721.7,1000000,30.0,32814.29,fusion_hybrid_a0p5,2025,2026,300000,8,0.11615079365079364,False
17.75,-7.28,21,8,38.1,3.3809,1177470.53,1000000,30.0,23630.37,fusion_hybrid_a0p5,2025,2026,500000,4,0.07043650793650794,False
30.46,-9.13,33,14,42.42,4.8904,1304569.15,1000000,30.0,29736.75,fusion_hybrid_a0p5,2025,2026,500000,6,0.12087301587301588,False
29.27,-11.36,44,21,47.73,4.3736,1292712.13,1000000,30.0,32826.27,fusion_hybrid_a0p5,2025,2026,500000,8,0.11615079365079364,False
5.38,-11.6,24,7,29.17,1.6114,1053772.56,1000000,30.0,14481.33,fusion_rerank,2025,2026,100000,4,0.02134920634920635,False
7.05,-13.8,36,11,30.56,1.6386,1070532.52,1000000,30.0,21724.07,fusion_rerank,2025,2026,100000,6,0.027976190476190474,False
12.43,-11.07,49,17,34.69,2.218,1124271.66,1000000,30.0,29429.08,fusion_rerank,2025,2026,100000,8,0.04932539682539682,False
15.89,-10.76,26,9,34.62,2.7683,1158882.87,1000000,30.0,23685.54,fusion_rerank,2025,2026,150000,4,0.06305555555555556,False
6.92,-15.32,37,12,32.43,1.4158,1069218.79,1000000,30.0,29617.34,fusion_rerank,2025,2026,150000,6,0.02746031746031746,False
40.0,-12.02,51,21,41.18,5.642,1399956.45,1000000,30.0,38777.02,fusion_rerank,2025,2026,150000,8,0.15873015873015872,False
5.75,-18.73,24,7,29.17,1.1875,1057536.4,1000000,30.0,24949.26,fusion_rerank,2025,2026,200000,4,0.022817460317460316,False
10.71,-13.47,37,12,32.43,1.9058,1107071.21,1000000,30.0,31933.71,fusion_rerank,2025,2026,200000,6,0.0425,False
19.06,-13.11,52,20,38.46,2.7028,1190581.3,1000000,30.0,38716.52,fusion_rerank,2025,2026,200000,8,0.07563492063492062,False
1.63,-21.26,24,7,29.17,0.6203,1016310.43,1000000,30.0,25773.08,fusion_rerank,2025,2026,300000,4,0.006468253968253968,False
20.18,-13.41,38,14,36.84,3.0417,1201803.89,1000000,30.0,35382.56,fusion_rerank,2025,2026,300000,6,0.08007936507936508,False
15.73,-15.51,52,20,38.46,2.3349,1157310.16,1000000,30.0,39201.6,fusion_rerank,2025,2026,300000,8,0.062420634920634925,False
1.63,-21.26,24,7,29.17,0.6203,1016310.43,1000000,30.0,25773.08,fusion_rerank,2025,2026,500000,4,0.006468253968253968,False
19.87,-13.59,38,14,36.84,3.0001,1198732.13,1000000,30.0,35398.76,fusion_rerank,2025,2026,500000,6,0.07884920634920635,False
15.19,-15.9,52,20,38.46,2.2715,1151942.62,1000000,30.0,39203.5,fusion_rerank,2025,2026,500000,8,0.06027777777777778,False
6.97,-12.79,28,10,35.71,1.7304,1069723.18,1000000,30.0,16936.55,ml_rerank,2025,2026,100000,4,0.027658730158730157,False
18.72,-9.4,40,14,35.0,3.5006,1187223.0,1000000,30.0,24482.42,ml_rerank,2025,2026,100000,6,0.07428571428571427,False
30.25,-7.19,55,23,41.82,5.1102,1302543.32,1000000,30.0,33571.6,ml_rerank,2025,2026,100000,8,0.12003968253968254,False
18.48,-11.22,26,10,38.46,3.035,1184816.36,1000000,30.0,23756.99,ml_rerank,2025,2026,150000,4,0.07333333333333333,False
36.29,-12.29,41,15,36.59,4.912,1362876.28,1000000,30.0,36194.06,ml_rerank,2025,2026,150000,6,0.1440079365079365,False
47.19,-8.29,54,23,42.59,6.1436,1471862.19,1000000,30.0,43406.89,ml_rerank,2025,2026,150000,8,0.18726190476190474,False
22.78,-11.94,26,10,38.46,3.2333,1227793.63,1000000,30.0,29609.14,ml_rerank,2025,2026,200000,4,0.0903968253968254,False
34.59,-12.89,41,15,36.59,4.3258,1345886.9,1000000,30.0,40169.89,ml_rerank,2025,2026,200000,6,0.13726190476190478,False
45.62,-8.61,56,24,42.86,5.4786,1456168.07,1000000,30.0,47417.86,ml_rerank,2025,2026,200000,8,0.18103174603174602,False
26.23,-12.78,25,10,40.0,3.4341,1262309.35,1000000,30.0,31747.57,ml_rerank,2025,2026,300000,4,0.10408730158730159,False
34.75,-13.53,40,15,37.5,4.1035,1347492.4,1000000,30.0,41335.25,ml_rerank,2025,2026,300000,6,0.1378968253968254,False
42.2,-11.58,55,23,41.82,4.6677,1421996.97,1000000,30.0,48437.92,ml_rerank,2025,2026,300000,8,0.16746031746031748,False
25.53,-13.27,25,10,40.0,3.3619,1255290.11,1000000,30.0,31820.87,ml_rerank,2025,2026,500000,4,0.10130952380952381,False
34.13,-13.58,40,15,37.5,4.049,1341346.65,1000000,30.0,41349.67,ml_rerank,2025,2026,500000,6,0.13543650793650794,False
41.12,-11.59,55,23,41.82,4.5752,1411203.0,1000000,30.0,48501.32,ml_rerank,2025,2026,500000,8,0.16317460317460317,False
