model,min_pred,top_n,score_mode,code,entry_date,exit_date,pnl_pct,pnl_krw,exit_reason,holding_steps
lgbm,0.0,4,hybrid,071950,2025-11-18,2025-11-25,-32.52816635160681,-32528.166351606807,stop_loss,1
lgbm,0.0,4,hybrid,368600,2025-11-25,2026-01-16,-21.025039370078737,-21025.03937007874,stop_loss,7
lgbm,0.0,4,hybrid,106080,2026-01-16,2026-02-06,-14.922666666666656,-14922.666666666657,stop_loss,3
lgbm,0.0,4,hybrid,079950,2026-02-06,2026-02-13,-19.374753451676515,-19374.753451676515,stop_loss,1
lgbm,0.0,4,hybrid,079950,2026-02-13,2026-02-25,-26.465170731707317,-26465.170731707316,stop_loss,1
lgbm,0.0,4,hybrid,101680,2026-02-25,2026-03-05,-12.7625,-12762.5,stop_loss,1
lgbm,0.0,4,hybrid,101680,2026-03-05,2026-03-19,22.818840579710145,22818.840579710144,take_profit,2
lgbm,0.0,4,hybrid,276730,2026-03-19,2026-05-11,98.0191135734072,98019.1135734072,take_profit,7
lgbm,0.0,4,hybrid,276730,2026-05-11,2026-06-02,-14.969944211994429,-14969.944211994429,stop_loss,3
lgbm,0.0,4,hybrid,000300,2024-02-22,2026-06-17,-0.3,-300.0,end,0
lgbm,0.0,4,hybrid,041590,2024-03-29,2026-06-17,-0.3,-300.0,end,0
lgbm,0.0,4,hybrid,080720,2024-10-15,2026-06-17,-0.3,-300.0,end,0
lgbm,0.0,4,hybrid,058110,2026-06-02,2026-06-17,8.675425790754264,8675.425790754263,end,0
lgbm,0.01,4,hybrid,175140,2023-01-09,2023-01-16,19.782174688057026,19782.174688057028,take_profit,1
lgbm,0.01,4,hybrid,175140,2023-01-16,2023-02-15,20.852967359050453,20852.967359050454,take_profit,4
lgbm,0.01,4,hybrid,356890,2023-01-25,2023-02-22,24.376233689513015,24376.233689513014,take_profit,4
lgbm,0.01,4,hybrid,069330,2023-01-02,2023-03-16,2.0458823529411747,2045.8823529411748,time_exit,10
lgbm,0.01,4,hybrid,203690,2023-01-02,2023-03-16,-20.24000000000001,-20240.000000000015,stop_loss,10
lgbm,0.01,4,hybrid,042040,2023-02-15,2023-04-13,81.58031674208146,81580.31674208146,take_profit,8
